2015-08-04 16:15 Valid username/password submit  SUCCESS HIGH 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-08-04 16:58 User supplied input was encoded  SUCCESS NULL 127.0.0.1
